Category,Level1,Level2,Level3,Level4,DataOne,DataFour,DataFive,DataTwo,DataThree,Total
"---Power Revenues, Indian Irrigation Projects",IIII,Community development,Area and regional development (452),"Power Revenues, Indian Irrigation Projects",-0.07,b,,,,-0.07
"---Return of Principal from Private Sector Investments, Tribal Trust Fund",IIII,Community development,Area and regional development (452),"Return of Principal from Private Sector Investments, Tribal Trust Fund",-0.097,b,,,,-0.097
---Operation of Indian Programs,IIII,Community development,Area and regional development (452),Operation of Indian Programs,0.157,b,,,,0.157
---Operation of Indian Programs,IIII,Community development,Area and regional development (452),Operation of Indian Programs,1.206,b,,,,1.206
---Construction,IIII,Community development,Area and regional development (452),Construction,0.196,b,,,,0.196
---Miscellaneous Permanent Appropriations,IIII,Community development,Area and regional development (452),Miscellaneous Permanent Appropriations,0.1,b,,,,0.1
---Trust Land Consolidation Fund,IIII,Community development,Area and regional development (452),Trust Land Consolidation Fund,0.35,b,,,,0.35
---Tribal Special Fund,IIII,Community development,Area and regional development (452),Tribal Special Fund,0.339,b,,,,0.339
---Tribal Trust Fund,IIII,Community development,Area and regional development (452),Tribal Trust Fund,0.104,b,,,,0.104
---Appalachian Regional Commission,IIII,Community development,Area and regional development (452),Appalachian Regional Commission,0.063,b,,,,0.063
---National Infrastructure Bank Program Account,IIII,Community development,Area and regional development (452),National Infrastructure Bank Program Account,0.107,b,,,,0.107
---Salaries and Expenses,IIII,Community development,Area and regional development (452),Salaries and Expenses,0.218,b,,,,0.218
"---Distance Learning, Telemedicine, and Broadband Program",IIII,Community development,Area and regional development (452),"Distance Learning, Telemedicine, and Broadband Program",0.709,b,,,,0.709
"---Distance Learning, Telemedicine, and Broadband Program",IIII,Community development,Area and regional development (452),"Distance Learning, Telemedicine, and Broadband Program",0.075,b,,,,0.075
---Rural Water and Waste Disposal Program Account,IIII,Community development,Area and regional development (452),Rural Water and Waste Disposal Program Account,0.933,b,,,,0.933
---Rural Water and Waste Disposal Program Account,IIII,Community development,Area and regional development (452),Rural Water and Waste Disposal Program Account,0.113,b,,,,0.113
---Rural Development Insurance Fund Liquidating Account,IIII,Community development,Area and regional development (452),Rural Development Insurance Fund Liquidating Account,-0.126,b,,,,-0.126
---Rural Community Facilities Program Account,IIII,Community development,Area and regional development (452),Rural Community Facilities Program Account,0.065,b,,,,0.065
---Rural Business Program Account,IIII,Community development,Area and regional development (452),Rural Business Program Account,0.086,b,,,,0.086
---Energy Assistance Payments,IIII,Community development,Area and regional development (452),Energy Assistance Payments,0.129,b,,,,0.129
---Rural Economic Development Grants,IIII,Community development,Area and regional development (452),Rural Economic Development Grants,-0.161,b,,,,-0.161
---Biorefinery Assistance Program Account,IIII,Community development,Area and regional development (452),Biorefinery Assistance Program Account,0.06,b,,,,0.06
---Economic Development Assistance Programs,IIII,Community development,Area and regional development (452),Economic Development Assistance Programs,0.444,b,,,,0.444
---Office of Health Affairs,IIII,Community development,Disaster relief and insurance (453),Office of Health Affairs,0.166,b,,,,0.166
---National FFFF and Programs Directorate,IIII,Community development,Disaster relief and insurance (453),National FFFF and Programs Directorate,0.053,b,,,,0.053
---National Flood Insurance Fund,IIII,Community development,Disaster relief and insurance (453),National Flood Insurance Fund,-0.364,b,,,,-0.364
---Flood Hazard Mapping and Risk Analysis Program,IIII,Community development,Disaster relief and insurance (453),Flood Hazard Mapping and Risk Analysis Program,0.115,b,,,,0.115
---State and Local Programs,IIII,Community development,Disaster relief and insurance (453),State and Local Programs,5.735,b,,,,5.735
---Salaries and Expenses,IIII,Community development,Disaster relief and insurance (453),Salaries and Expenses,0.761,b,,,,0.761
---Disaster Relief,IIII,Community development,Disaster relief and insurance (453),Disaster Relief,0.611,b,,,,0.611
---Disaster Relief,IIII,Community development,Disaster relief and insurance (453),Disaster Relief,9.349,b,,,,9.349
---Disaster Assistance Direct Loan Program Account,IIII,Community development,Disaster relief and insurance (453),Disaster Assistance Direct Loan Program Account,0.053,b,,,,0.053
---Radiological Emergency Preparedness Program,IIII,Community development,Disaster relief and insurance (453),Radiological Emergency Preparedness Program,0.051,b,,,,0.051
---National Pre-disaster Mitigation Fund,IIII,Community development,Disaster relief and insurance (453),National Predisaster Mitigation Fund,0.16,b,,,,0.16
---First Responder Stabilization Fund,IIII,Community development,Disaster relief and insurance (453),First Responder Stabilization Fund,0.399,b,,,,0.399
---Disaster Loans Program Account,IIII,Community development,Disaster relief and insurance (453),Disaster Loans Program Account,0.285,b,,,,0.285
---Emergency Conservation Program,IIII,Community development,Disaster relief and insurance (453),Emergency Conservation Program,0.101,b,,,,0.101
--Current Operations - Parking Facilities (E60),IIII,Community development,Current Operations  Parking Facilities (E60),,0,g,0,0,1.4,1.4
--Construction - Parking Facilities (F60),IIII,Community development,Construction  Parking Facilities (F60),,0,g,0,0,0.3,0.3
--Other Capital Outlay - Parking Facilities (G60),IIII,Community development,Other Capital Outlay  Parking Facilities (G60),,0,g,0,0,0.1,0.1
"---Reclamation Fund, Other Proprietary Receipts from the Public",IIII,Water supply,Water resources (301),"Reclamation Fund, Other Proprietary Receipts from the Public",-0.128,b,,,,-0.128
"---Revenues, Colorado River Dam Fund, Boulder Canyon Project",IIII,Water supply,Water resources (301),"Revenues, Colorado River Dam Fund, Boulder Canyon Project",-0.111,b,,,,-0.111
---Policy and Administration,IIII,Water supply,Water resources (301),Policy and Administration,0.06,b,,,,0.06
---Reclamation Water Settlements Fund,IIII,Water supply,Water resources (301),Reclamation Water Settlements Fund,0.06,b,,,,0.06
"---Colorado River Dam Fund, Boulder Canyon Project",IIII,Water supply,Water resources (301),"Colorado River Dam Fund, Boulder Canyon Project",0.104,b,,,,0.104
---Water and Related Resources,IIII,Water supply,Water resources (301),Water and Related Resources,0.921,b,,,,0.921
---Mississippi River and Tributaries,IIII,Water supply,Water resources (301),Mississippi River and Tributaries,0.56,b,,,,0.56
---Investigations,IIII,Water supply,Water resources (301),Investigations,0.123,b,,,,0.123
---Construction,IIII,Water supply,Water resources (301),Construction,2.602,b,,,,2.602
---Operation and Maintenance,IIII,Water supply,Water resources (301),Operation and Maintenance,1.957,b,,,,1.957
---Expenses,IIII,Water supply,Water resources (301),Expenses,0.183,b,,,,0.183
---Flood Control and Coastal Emergencies,IIII,Water supply,Water resources (301),Flood Control and Coastal Emergencies,1.479,b,,,,1.479
---Regulatory Program,IIII,Water supply,Water resources (301),Regulatory Program,0.212,b,,,,0.212
---Coastal Wetlands Restoration Trust Fund,IIII,Water supply,Water resources (301),Coastal Wetlands Restoration Trust Fund,0.11,b,,,,0.11
---Inland Waterways Trust Fund,IIII,Water supply,Water resources (301),Inland Waterways Trust Fund,0.097,b,,,,0.097
"---Contributions, Rivers and Harbors, Other Than Port and Harbor User Fees",IIII,Water supply,Water resources (301),"Contributions, Rivers and Harbors, Other Than Port and Harbor User Fees",-0.45,b,,,,-0.45
---Rivers and Harbors Contributed Funds,IIII,Water supply,Water resources (301),Rivers and Harbors Contributed Funds,0.456,b,,,,0.456
---Harbor Maintenance Trust Fund,IIII,Water supply,Water resources (301),Harbor Maintenance Trust Fund,0.839,b,,,,0.839
---Watershed Rehabilitation Program,IIII,Water supply,Water resources (301),Watershed Rehabilitation Program,0.053,b,,,,0.053
---Watershed and Flood Prevention Operations,IIII,Water supply,Water resources (301),Watershed and Flood Prevention Operations,0.164,b,,,,0.164
--Federal Intergovernmental - Water Utilities (B91),IIII,Water supply,Federal Intergovernmental  Water Utilities (B91),,0,g,-1.7,0,0,-1.7
--Current Operations - Water Utilities (E91),IIII,Water supply,Current Operations  Water Utilities (E91),,0,g,0,0.2,39.1,39.3
--Construction - Water Utilities (F91),IIII,Water supply,Construction  Water Utilities (F91),,0,g,0,0,11.5,11.5
--Other Capital Outlay - Water Utilities (G91),IIII,Water supply,Other Capital Outlay  Water Utilities (G91),,0,g,0,0,2.2,2.2
--Water Utilities - FFFF on Debt (I91),IIII,Water supply,Water Utilities  FFFF on Debt (I91),,0,g,0,0.1,6.6,6.8
-Street lighting,IIII,Street lighting,,,0,,0,0,0,0
-R&D Housing and community amenities,IIII,R&D Housing and community amenities,,,0,,0,0,0,0
-Housing and community amenities n.e.c.,IIII,Housing and community amenities n.e.c.,,,0,,0,0,0,0
"---Recreation Enhancement Fee, National Park System",IIII,Recreational and sporting services,Recreational resources (303),"Recreation Enhancement Fee, National Park System",-0.172,b,,,,-0.172
---Park Concessions Franchise Fees,IIII,Recreational and sporting services,Recreational resources (303),Park Concessions Franchise Fees,-0.07,b,,,,-0.07
---Federal Aid in Wildlife Restoration,IIII,Recreational and sporting services,Recreational resources (303),Federal Aid in Wildlife Restoration,0.424,b,,,,0.424
---Migratory Bird Conservation Account,IIII,Recreational and sporting services,Recreational resources (303),Migratory Bird Conservation Account,0.059,b,,,,0.059
---Sport Fish Restoration,IIII,Recreational and sporting services,Recreational resources (303),Sport Fish Restoration,0.5,b,,,,0.5
---Operation of the National Park System,IIII,Recreational and sporting services,Recreational resources (303),Operation of the National Park System,2.276,b,,,,2.276
---Construction (and Major Maintenance),IIII,Recreational and sporting services,Recreational resources (303),Construction (and Major Maintenance),0.279,b,,,,0.279
---National Recreation and Preservation,IIII,Recreational and sporting services,Recreational resources (303),National Recreation and Preservation,0.063,b,,,,0.063
---Land Acquisition and State Assistance,IIII,Recreational and sporting services,Recreational resources (303),Land Acquisition and State Assistance,0.064,b,,,,0.064
---Historic Preservation Fund,IIII,Recreational and sporting services,Recreational resources (303),Historic Preservation Fund,0.081,b,,,,0.081
---Other Permanent Appropriations,IIII,Recreational and sporting services,Recreational resources (303),Other Permanent Appropriations,0.179,b,,,,0.179
---Recreation Fee Permanent Appropriations,IIII,Recreational and sporting services,Recreational resources (303),Recreation Fee Permanent Appropriations,0.158,b,,,,0.158
"---Recreational Fee Demonstration Program, Forest Service",IIII,Recreational and sporting services,Recreational resources (303),"Recreational Fee Demonstration Program, Forest Service",-0.062,b,,,,-0.062
---Forest Service Permanent Appropriations,IIII,Recreational and sporting services,Recreational resources (303),Forest Service Permanent Appropriations,0.062,b,,,,0.062
--Current Operations - Parks and Recreation (E61),IIII,Recreational and sporting services,Current Operations  Parks and Recreation (E61),,0,g,0,4.2,25.6,29.7
--Construction - Parks and Recreation (F61),IIII,Recreational and sporting services,Construction  Parks and Recreation (F61),,0,g,0,0.7,7.5,8.3
--Other Capital Outlay - Parks and Recreation (G61),IIII,Recreational and sporting services,Other Capital Outlay  Parks and Recreation (G61),,0,g,0,0.3,2.3,2.6
-Cultural services,IIII,Cultural services,,,0,,0,0,0,0
-Broadcasting and publishing services,IIII,Broadcasting and publishing services,,,0,,0,0,0,0
-Religious and other community services,IIII,Religious and other community services,,,0,,0,0,0,0
"-R&D Recreation, culture and religion",IIII,"R&D Recreation, culture and religion",,,0,,0,0,0,0
"-Recreation, culture and religion n.e.c.",IIII,"Recreation, culture and religion n.e.c.",,,0,,0,0,0,0
-R&D General public services,IIII,R&D General public services,,,0,,0,0,0,0
--Deductions for offsetting receipts (809),IIII,General public services n.e.c.,Deductions for offsetting receipts (809),,-1.8,b,0,0,0,-1.8
--General revenue sharing (851),IIII,General public services n.e.c.,General revenue sharing (851),,0,,0,0,0,0
--Other general purpose fiscal assistance (852),IIII,General public services n.e.c.,Other general purpose fiscal assistance (852),,0,,0,0,0,0
--Central Federal credit activities (871),IIII,General public services n.e.c.,Central Federal credit activities (871),,0,,0,0,0,0
--Financial stabilization efforts (891),IIII,General public services n.e.c.,Financial stabilization efforts (891),,0,,0,0,0,0
--Disaster costs (892),IIII,General public services n.e.c.,Disaster costs (892),,0,,0,0,0,0
--Bipartisan economic security plan (921),IIII,General public services n.e.c.,Bipartisan economic security plan (921),,0,b,0,0,0,0
--Allowance for anticipated supplemental (922),IIII,General public services n.e.c.,Allowance for anticipated supplemental (922),,0,,0,0,0,0
--National emergency reserve (923),IIII,General public services n.e.c.,National emergency reserve (923),,0,,0,0,0,0
--Spectrum relocation (924),IIII,General public services n.e.c.,Spectrum relocation (924),,0,b,0,0,0,0
--Debt collection initiatives (925),IIII,General public services n.e.c.,Debt collection initiatives (925),,1.6,b,0,0,0,1.6
--Adjustment to certain pass-through accounts (926),IIII,General public services n.e.c.,Adjustment to certain passthrough accounts (926),,0,,0,0,0,0
